Bill No,Doc. Date,Vou No,Bill Date,Party Name,State,City Name,Product Name (Overwrite),category,HSN Code,Packing,Qty,Purchase Rate,Purchase Amt,CGST Amount,SGST Amount,IGST Amount,Total Amount,Category
WMPL/MFG/0553,22-10-2020,  PW/10,24-10-2020,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,SUPREME ADULT DIAPER(XL)      10,,9619,10,480,200,96000,5760,5760,,107520,SURGICAL
WMPL/MFG/0555,22-10-2020,  PW/04,24-10-2020,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,SUPREME ADULT DIAPER(XL)      10,,9619,10,240,200,48000,2880,2880,,53760,SURGICAL
WMPL/MFG/702,28-11-2020,  PW/296,30-11-2020,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,SUPREME ADULT DIAPER(XL)      10,,9619,10,960,200,192000,11520,11520,,215040,SURGICAL
WMPL/MFG/795,11-12-2020,  PW/300,12-12-2020,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,SUPREME ADULT DIAPER(XL)      10,,9619,10,480,200,96000,5760,5760,,107520,SURGICAL
WMPL/MFG/1002,29-01-2021,  PW/730,30-01-2021,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,SUPREME ADULT DIAPER(XL)      10,,9619,10,384,200,76800,4608,4608,,86016,SURGICAL
WMPL/MFG/0553,22-10-2020,  PW/10,24-10-2020,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,SUPREME ADULT DIAPER(L)       10 PIECE,,9619,10 PIECE,960,190,182400,10944,10944,,204288,SURGICAL
WMPL/MFG/0555,22-10-2020,  PW/04,24-10-2020,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,SUPREME ADULT DIAPER(L)       10 PIECE,,9619,10 PIECE,480,190,91200,5472,5472,,102144,SURGICAL
WMPL/MFG/702,28-11-2020,  PW/296,30-11-2020,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,SUPREME ADULT DIAPER(L)       10 PIECE,,9619,10 PIECE,960,190,182400,10944,10944,,204288,SURGICAL
WMPL/MFG/795,11-12-2020,  PW/300,12-12-2020,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,SUPREME ADULT DIAPER(L)       10 PIECE,,9619,10 PIECE,480,190,91200,5472,5472,,102144,SURGICAL
WMPL/MFG/1002,29-01-2021,  PW/730,30-01-2021,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,SUPREME ADULT DIAPER(L)       10 PIECE,,9619,10 PIECE,960,190,182400,10944,10944,,204288,SURGICAL
WMPL/MFG/0553,22-10-2020,  PW/10,24-10-2020,WALMARK MEDITECH PVT.LTD.,Maharashtra,NAGPUR,SUPREME ADULT DIAPER(M)       10 PIECE,,9619,10 PIECE,480,180,86400,5184,5184,,96768,SURGICAL
